2017-12-29 02:07:35,690 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-12-29 02:07:35,695 [MainThread:140592604096256] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `TestApp_luo` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(20) NOT NULL); (params None)
2017-12-29 02:07:35,751 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.056) CREATE TABLE `TestApp_luo` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(20) NOT NULL); args=None
2017-12-29 02:07:35,752 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'TestApp_luo'; args=[u'TestApp_luo']
2017-12-29 02:07:35,753 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-12-29 02:07:35,754 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('TestApp', '0001_initial', '2017-12-29 02:07:35.753946'); args=['TestApp', u'0001_initial', u'2017-12-29 02:07:35.753946']
2017-12-29 02:07:35,757 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2017-12-29 02:07:35,757 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-12-29 02:07:35,760 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'logentry' AND `django_content_type`.`app_label` = 'admin'); args=('logentry', 'admin')
2017-12-29 02:07:35,764 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
2017-12-29 02:07:35,765 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin'; args=('admin',)
2017-12-29 02:07:35,766 [MainThread:140592604096256] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'permission' AND `django_content_type`.`app_label` = 'auth'); args=('permission', 'auth')
